Date,Price,Stock
1995-06-21,73.72,SMSN LI Equity
1995-06-22,74.09,SMSN LI Equity
1995-06-23,73.91,SMSN LI Equity
1995-06-26,73.91,SMSN LI Equity
1995-06-27,72.68,SMSN LI Equity
1995-06-28,72.59,SMSN LI Equity
1995-06-29,72.4,SMSN LI Equity
1995-06-30,72.4,SMSN LI Equity
1995-07-03,72.02,SMSN LI Equity
1995-07-04,71.65,SMSN LI Equity
1995-07-05,71.93,SMSN LI Equity
1995-07-06,75.97,SMSN LI Equity
1995-07-07,85.19,SMSN LI Equity
1995-07-10,94.87,SMSN LI Equity
1995-07-11,92.8,SMSN LI Equity
1995-07-12,94.03,SMSN LI Equity
1995-07-13,95.25,SMSN LI Equity
1995-07-14,94.07,SMSN LI Equity
1995-07-17,93.56,SMSN LI Equity
1995-07-18,94.59,SMSN LI Equity
1995-07-19,93.46,SMSN LI Equity
1995-07-20,94.5,SMSN LI Equity
1995-07-21,94.97,SMSN LI Equity
1995-07-24,97.41,SMSN LI Equity
1995-07-25,97.79,SMSN LI Equity
1995-07-26,96.85,SMSN LI Equity
1995-07-27,98.73,SMSN LI Equity
1995-07-28,102.87,SMSN LI Equity
1995-07-31,106.53,SMSN LI Equity
1995-08-01,108.79,SMSN LI Equity
1995-08-02,106.63,SMSN LI Equity
1995-08-03,100.99,SMSN LI Equity
1995-08-04,98.54,SMSN LI Equity
1995-08-07,98.16,SMSN LI Equity
1995-08-08,98.18,SMSN LI Equity
1995-08-09,100.8,SMSN LI Equity
1995-08-10,99.03,SMSN LI Equity
1995-08-11,98.54,SMSN LI Equity
1995-08-14,98.82,SMSN LI Equity
1995-08-15,98.73,SMSN LI Equity
1995-08-16,98.28,SMSN LI Equity
1995-08-17,96.66,SMSN LI Equity
1995-08-18,94.4,SMSN LI Equity
1995-08-21,94.31,SMSN LI Equity
1995-08-22,96.1,SMSN LI Equity
1995-08-23,96.28,SMSN LI Equity
1995-08-24,98.16,SMSN LI Equity
1995-08-25,99.01,SMSN LI Equity
1995-08-29,97.88,SMSN LI Equity
1995-08-30,98.92,SMSN LI Equity
1995-08-31,100.8,SMSN LI Equity
1995-09-01,104.75,SMSN LI Equity
1995-09-04,110.29,SMSN LI Equity
1995-09-05,116.78,SMSN LI Equity
1995-09-06,117.91,SMSN LI Equity
1995-09-07,119.41,SMSN LI Equity
1995-09-08,119.79,SMSN LI Equity
1995-09-11,119.13,SMSN LI Equity
1995-09-12,116.12,SMSN LI Equity
1995-09-13,115.12,SMSN LI Equity
1995-09-14,116.03,SMSN LI Equity
1995-09-15,123.08,SMSN LI Equity
1995-09-18,122.14,SMSN LI Equity
1995-09-19,115.65,SMSN LI Equity
1995-09-20,116.12,SMSN LI Equity
1995-09-21,115.84,SMSN LI Equity
1995-09-22,110.48,SMSN LI Equity
1995-09-25,109.73,SMSN LI Equity
1995-09-26,107.28,SMSN LI Equity
1995-09-27,104.37,SMSN LI Equity
1995-09-28,105.59,SMSN LI Equity
1995-09-29,106.06,SMSN LI Equity
1995-10-02,103.9,SMSN LI Equity
1995-10-03,102.58,SMSN LI Equity
1995-10-04,103.34,SMSN LI Equity
1995-10-05,103.1,SMSN LI Equity
1995-10-06,103.24,SMSN LI Equity
1995-10-09,102.49,SMSN LI Equity
1995-10-10,95.91,SMSN LI Equity
1995-10-11,97.04,SMSN LI Equity
1995-10-12,95.72,SMSN LI Equity
1995-10-13,95.16,SMSN LI Equity
1995-10-16,94.4,SMSN LI Equity
1995-10-17,95.06,SMSN LI Equity
1995-10-18,95.53,SMSN LI Equity
1995-10-19,94.22,SMSN LI Equity
1995-10-20,93.84,SMSN LI Equity
1995-10-23,90.27,SMSN LI Equity
1995-10-24,90.83,SMSN LI Equity
1995-10-25,92.33,SMSN LI Equity
1995-10-26,91.02,SMSN LI Equity
1995-10-27,88.57,SMSN LI Equity
1995-10-30,88.29,SMSN LI Equity
1995-10-31,88.9,SMSN LI Equity
1995-11-01,91.21,SMSN LI Equity
1995-11-02,91.3,SMSN LI Equity
1995-11-03,90.36,SMSN LI Equity
1995-11-06,90.45,SMSN LI Equity
1995-11-07,90.64,SMSN LI Equity
1995-11-08,86.32,SMSN LI Equity
1995-11-09,78.89,SMSN LI Equity
1995-11-10,79.55,SMSN LI Equity
1995-11-13,75.13,SMSN LI Equity
1995-11-14,76.16,SMSN LI Equity
1995-11-15,68.45,SMSN LI Equity
1995-11-16,70.71,SMSN LI Equity
1995-11-17,73.91,SMSN LI Equity
1995-11-20,70.43,SMSN LI Equity
1995-11-21,70.71,SMSN LI Equity
1995-11-22,71.37,SMSN LI Equity
1995-11-23,73.15,SMSN LI Equity
1995-11-24,73.72,SMSN LI Equity
1995-11-27,74.19,SMSN LI Equity
1995-11-28,72.59,SMSN LI Equity
1995-11-29,72.92,SMSN LI Equity
1995-11-30,69.39,SMSN LI Equity
1995-12-01,69.77,SMSN LI Equity
1995-12-04,69.2,SMSN LI Equity
1995-12-05,72.59,SMSN LI Equity
1995-12-06,74.38,SMSN LI Equity
1995-12-07,80.68,SMSN LI Equity
1995-12-08,79.17,SMSN LI Equity
1995-12-11,74.28,SMSN LI Equity
1995-12-12,75.15,SMSN LI Equity
1995-12-13,74.09,SMSN LI Equity
1995-12-14,69.86,SMSN LI Equity
1995-12-15,64.88,SMSN LI Equity
1995-12-18,64.55,SMSN LI Equity
1995-12-19,66.43,SMSN LI Equity
1995-12-20,69.2,SMSN LI Equity
1995-12-21,71.93,SMSN LI Equity
1995-12-22,72.31,SMSN LI Equity
1995-12-27,73.72,SMSN LI Equity
1995-12-28,73.72,SMSN LI Equity
1995-12-29,72.78,SMSN LI Equity
1996-01-02,70.71,SMSN LI Equity
1996-01-03,72.4,SMSN LI Equity
1996-01-04,69.02,SMSN LI Equity
1996-01-05,69.3,SMSN LI Equity
1996-01-08,69.67,SMSN LI Equity
1996-01-09,71.46,SMSN LI Equity
1996-01-10,67.32,SMSN LI Equity
1996-01-11,68.55,SMSN LI Equity
1996-01-12,65.25,SMSN LI Equity
1996-01-15,63.94,SMSN LI Equity
1996-01-16,64.41,SMSN LI Equity
1996-01-17,60.46,SMSN LI Equity
1996-01-18,61.44,SMSN LI Equity
1996-01-19,65.07,SMSN LI Equity
1996-01-22,64.03,SMSN LI Equity
1996-01-23,67.04,SMSN LI Equity
1996-01-24,70.99,SMSN LI Equity
1996-01-25,72.78,SMSN LI Equity
1996-01-26,72.49,SMSN LI Equity
1996-01-29,74.28,SMSN LI Equity
1996-01-30,74.19,SMSN LI Equity
1996-01-31,74,SMSN LI Equity
1996-02-01,73.72,SMSN LI Equity
1996-02-02,74.28,SMSN LI Equity
1996-02-05,77.38,SMSN LI Equity
1996-02-06,73.25,SMSN LI Equity
1996-02-07,77.29,SMSN LI Equity
1996-02-08,78.42,SMSN LI Equity
1996-02-09,76.35,SMSN LI Equity
1996-02-12,72.31,SMSN LI Equity
1996-02-13,67.89,SMSN LI Equity
1996-02-14,69.96,SMSN LI Equity
1996-02-15,69.58,SMSN LI Equity
1996-02-16,71.65,SMSN LI Equity
1996-02-19,73.91,SMSN LI Equity
1996-02-20,73.72,SMSN LI Equity
1996-02-21,72.31,SMSN LI Equity
1996-02-22,74.09,SMSN LI Equity
1996-02-23,73.06,SMSN LI Equity
1996-02-26,68.73,SMSN LI Equity
1996-02-27,69.2,SMSN LI Equity
1996-02-28,69.77,SMSN LI Equity
1996-02-29,69.02,SMSN LI Equity
1996-03-01,69.3,SMSN LI Equity
1996-03-04,71.93,SMSN LI Equity
1996-03-05,71.46,SMSN LI Equity
1996-03-06,70.8,SMSN LI Equity
1996-03-07,68.45,SMSN LI Equity
1996-03-08,66.95,SMSN LI Equity
1996-03-11,61.87,SMSN LI Equity
1996-03-12,55.68,SMSN LI Equity
1996-03-13,50.42,SMSN LI Equity
1996-03-14,53.6,SMSN LI Equity
1996-03-15,54.21,SMSN LI Equity
1996-03-18,54.45,SMSN LI Equity
1996-03-19,57.15,SMSN LI Equity
1996-03-20,58.98,SMSN LI Equity
1996-03-21,59.47,SMSN LI Equity
1996-03-22,59.47,SMSN LI Equity
1996-03-25,58.12,SMSN LI Equity
1996-03-26,57.76,SMSN LI Equity
1996-03-27,56.29,SMSN LI Equity
1996-03-28,56.04,SMSN LI Equity
1996-03-29,57.39,SMSN LI Equity
1996-04-01,56.17,SMSN LI Equity
1996-04-02,56.41,SMSN LI Equity
1996-04-03,55.55,SMSN LI Equity
1996-04-04,54.7,SMSN LI Equity
1996-04-09,54.94,SMSN LI Equity
1996-04-10,53.6,SMSN LI Equity
1996-04-11,55.8,SMSN LI Equity
1996-04-12,58.05,SMSN LI Equity
1996-04-15,64.98,SMSN LI Equity
1996-04-16,64.85,SMSN LI Equity
1996-04-17,65.96,SMSN LI Equity
1996-04-18,68.53,SMSN LI Equity
1996-04-19,70.12,SMSN LI Equity
1996-04-22,68.28,SMSN LI Equity
1996-04-23,68.04,SMSN LI Equity
1996-04-24,76.11,SMSN LI Equity
1996-04-25,78.53,SMSN LI Equity
1996-04-26,77.7,SMSN LI Equity
1996-04-29,78.44,SMSN LI Equity
1996-04-30,73.72,SMSN LI Equity
1996-05-01,70.97,SMSN LI Equity
1996-05-02,69.91,SMSN LI Equity
1996-05-03,70.48,SMSN LI Equity
1996-05-07,71.1,SMSN LI Equity
1996-05-08,70.73,SMSN LI Equity
1996-05-09,66.32,SMSN LI Equity
1996-05-10,66.69,SMSN LI Equity
1996-05-13,66.69,SMSN LI Equity
1996-05-14,66.32,SMSN LI Equity
1996-05-15,66.32,SMSN LI Equity
1996-05-16,63.63,SMSN LI Equity
1996-05-17,63.26,SMSN LI Equity
1996-05-20,60.82,SMSN LI Equity
1996-05-21,58.61,SMSN LI Equity
1996-05-22,58.25,SMSN LI Equity
1996-05-23,54.82,SMSN LI Equity
1996-05-24,54.63,SMSN LI Equity
1996-05-28,48.33,SMSN LI Equity
1996-05-29,47.85,SMSN LI Equity
1996-05-30,50.05,SMSN LI Equity
1996-05-31,53.6,SMSN LI Equity
1996-06-03,50.42,SMSN LI Equity
1996-06-04,51.76,SMSN LI Equity
1996-06-05,50.78,SMSN LI Equity
1996-06-06,52.5,SMSN LI Equity
1996-06-07,48.58,SMSN LI Equity
1996-06-10,52.94,SMSN LI Equity
1996-06-11,51.88,SMSN LI Equity
1996-06-12,51.64,SMSN LI Equity
1996-06-13,53.84,SMSN LI Equity
1996-06-14,55.07,SMSN LI Equity
1996-06-17,53.96,SMSN LI Equity
1996-06-18,53.6,SMSN LI Equity
1996-06-19,53.23,SMSN LI Equity
1996-06-20,52.62,SMSN LI Equity
1996-06-21,51.52,SMSN LI Equity
1996-06-24,49.56,SMSN LI Equity
